enumeration_category,enumeration_name,value
Tag,(Unused),000000 - 420000
Tag,Activation Date,420001
Tag,Application Data,420002
Tag,Application Namespace,420003
Tag,Application Specific Information,420004
Tag,Archive Date,420005
Tag,Asynchronous Correlation Value,420006
Tag,Asynchronous Indicator,420007
Tag,Attribute,420008
Tag,Attribute Index,420009
Tag,Attribute Name,42000A
Tag,Attribute Value,42000B
Tag,Authentication,42000C
Tag,Batch Count,42000D
Tag,Batch Error Continuation Option,42000E
Tag,Batch Item,42000F
Tag,Batch Order Option,420010
Tag,Block Cipher Mode,420011
Tag,Cancellation Result,420012
Tag,Certificate,420013
Tag,Certificate Identifier,420014(deprecated as of version 1.1)
Tag,Certificate Issuer,420015(deprecated as of version 1.1)
Tag,Certificate Issuer Alternative Name,420016(deprecated as of version 1.1)
Tag,Certificate Issuer Distinguished Name,420017(deprecated as of version 1.1)
Tag,Certificate Request,420018
Tag,Certificate Request Type,420019
Tag,Certificate Subject,42001A(deprecated as of version 1.1)
Tag,Certificate Subject Alternative Name,42001B(deprecated as of version 1.1)
Tag,Certificate Subject Distinguished Name,42001C(deprecated as of version 1.1)
Tag,Certificate Type,42001D
Tag,Certificate Value,42001E
Tag,Common Template-Attribute,42001F
Tag,Compromise Date,420020
Tag,Compromise Occurrence Date,420021
Tag,Contact Information,420022
Tag,Credential,420023
Tag,Credential Type,420024
Tag,Credential Value,420025
Tag,Criticality Indicator,420026
Tag,CRT Coefficient,420027
Tag,Cryptographic Algorithm,420028
Tag,Cryptographic Domain Parameters,420029
Tag,Cryptographic Length,42002A
Tag,Cryptographic Parameters,42002B
Tag,Cryptographic Usage Mask,42002C
Tag,Custom Attribute,42002D
Tag,D,42002E
Tag,Deactivation Date,42002F
Tag,Derivation Data,420030
Tag,Derivation Method,420031
Tag,Derivation Parameters,420032
Tag,Destroy Date,420033
Tag,Digest,420034
Tag,Digest Value,420035
Tag,Encryption Key Information,420036
Tag,G,420037
Tag,Hashing Algorithm,420038
Tag,Initial Date,420039
Tag,Initialization Vector,42003A
Tag,Issuer,42003B(deprecated as of version 1.1)
Tag,Iteration Count,42003C
Tag,IV/Counter/Nonce,42003D
Tag,J,42003E
Tag,Key,42003F
Tag,Key Block,420040
Tag,Key Compression Type,420041
Tag,Key Format Type,420042
Tag,Key Material,420043
Tag,Key Part Identifier,420044
Tag,Key Value,420045
Tag,Key Wrapping Data,420046
Tag,Key Wrapping Specification,420047
Tag,Last Change Date,420048
Tag,Lease Time,420049
Tag,Link,42004A
Tag,Link Type,42004B
Tag,Linked Object Identifier,42004C
Tag,MAC/Signature,42004D
Tag,MAC/Signature Key Information,42004E
Tag,Maximum Items,42004F
Tag,Maximum Response Size,420050
Tag,Message Extension,420051
Tag,Modulus,420052
Tag,Name,420053
Tag,Name Type,420054
Tag,Name Value,420055
Tag,Object Group,420056
Tag,Object Type,420057
Tag,Offset,420058
Tag,Opaque Data Type,420059
Tag,Opaque Data Value,42005A
Tag,Opaque Object,42005B
Tag,Operation,42005C
Tag,Operation Policy Name,42005D
Tag,P,42005E
Tag,Padding Method,42005F
Tag,Prime Exponent P,420060
Tag,Prime Exponent Q,420061
Tag,Prime Field Size,420062
Tag,Private Exponent,420063
Tag,Private Key,420064
Tag,Private Key Template-Attribute,420065
Tag,Private Key Unique Identifier,420066
Tag,Process Start Date,420067
Tag,Protect Stop Date,420068
Tag,Protocol Version,420069
Tag,Protocol Version Major,42006A
Tag,Protocol Version Minor,42006B
Tag,Public Exponent,42006C
Tag,Public Key,42006D
Tag,Public Key Template-Attribute,42006E
Tag,Public Key Unique Identifier,42006F
Tag,Put Function,420070
Tag,Q,420071
Tag,Q String,420072
Tag,Qlength,420073
Tag,Query Function,420074
Tag,Recommended Curve,420075
Tag,Replaced Unique Identifier,420076
Tag,Request Header,420077
Tag,Request Message,420078
Tag,Request Payload,420079
Tag,Response Header,42007A
Tag,Response Message,42007B
Tag,Response Payload,42007C
Tag,Result Message,42007D
Tag,Result Reason,42007E
Tag,Result Status,42007F
Tag,Revocation Message,420080
Tag,Revocation Reason,420081
Tag,Revocation Reason Code,420082
Tag,Key Role Type,420083
Tag,Salt,420084
Tag,Secret Data,420085
Tag,Secret Data Type,420086
Tag,Serial Number,420087(deprecated as of version 1.1)
Tag,Server Information,420088
Tag,Split Key,420089
Tag,Split Key Method,42008A
Tag,Split Key Parts,42008B
Tag,Split Key Threshold,42008C
Tag,State,42008D
Tag,Storage Status Mask,42008E
Tag,Symmetric Key,42008F
Tag,Template,420090
Tag,Template-Attribute,420091
Tag,Time Stamp,420092
Tag,Unique Batch Item ID,420093
Tag,Unique Identifier,420094
Tag,Usage Limits,420095
Tag,Usage Limits Count,420096
Tag,Usage Limits Total,420097
Tag,Usage Limits Unit,420098
Tag,Username,420099
Tag,Validity Date,42009A
Tag,Validity Indicator,42009B
Tag,Vendor Extension,42009C
Tag,Vendor Identification,42009D
Tag,Wrapping Method,42009E
Tag,X,42009F
Tag,Y,4200A0
Tag,Password,4200A1
Tag,Device Identifier,4200A2
Tag,Encoding Option,4200A3
Tag,Extension Information,4200A4
Tag,Extension Name,4200A5
Tag,Extension Tag,4200A6
Tag,Extension Type,4200A7
Tag,Fresh,4200A8
Tag,Machine Identifier,4200A9
Tag,Media Identifier,4200AA
Tag,Network Identifier,4200AB
Tag,Object Group Member,4200AC
Tag,Certificate Length,4200AD
Tag,Digital Signature Algorithm,4200AE
Tag,Certificate Serial Number,4200AF
Tag,Device Serial Number,4200B0
Tag,Issuer Alternative Name,4200B1
Tag,Issuer Distinguished Name,4200B2
Tag,Subject Alternative Name,4200B3
Tag,Subject Distinguished Name,4200B4
Tag,X.509 Certificate Identifier,4200B5
Tag,X.509 Certificate Issuer,4200B6
Tag,X.509 Certificate Subject,4200B7
Tag,Key Value Location,4200B8
Tag,Key Value Location Value,4200B9
Tag,Key Value Location Type,4200BA
Tag,Key Value Present,4200BB
Tag,Original Creation Date,4200BC
Tag,PGP Key,4200BD
Tag,PGP Key Version,4200BE
Tag,Alternative Name,4200BF
Tag,Alternative Name Value,4200C0
Tag,Alternative Name Type,4200C1
Tag,Data,4200C2
Tag,Signature Data,4200C3
Tag,Data Length,4200C4
Tag,Random IV,4200C5
Tag,MAC Data,4200C6
Tag,Attestation Type,4200C7
Tag,Nonce,4200C8
Tag,Nonce ID,4200C9
Tag,Nonce Value,4200CA
Tag,Attestation Measurement,4200CB
Tag,Attestation Assertion,4200CC
Tag,IV Length,4200CD
Tag,Tag Length,4200CE
Tag,Fixed Field Length,4200CF
Tag,Counter Length,4200D0
Tag,Initial Counter Value,4200D1
Tag,Invocation Field Length,4200D2
Tag,Attestation Capable Indicator,4200D3
Tag,(Reserved),4200D4 – 42FFFF
Tag,(Unused),430000 – 53FFFF
Tag,Extensions,540000 – 54FFFF
Tag,(Unused),550000 - FFFFFF
Credential Type,Username and Password,00000001
Credential Type,Device,00000002
Credential Type,Attestation,00000003
Credential Type,Extensions,8XXXXXXX
Key Compression Type,EC Public Key Type Uncompressed,00000001
Key Compression Type,EC Public Key Type X9.62 Compressed Prime,00000002
Key Compression Type,EC Public Key Type X9.62 Compressed Char2,00000003
Key Compression Type,EC Public Key Type X9.62 Hybrid,00000004
Key Compression Type,Extensions,8XXXXXXX
Key Format Type,Raw,00000001
Key Format Type,Opaque,00000002
Key Format Type,PKCS#1,00000003
Key Format Type,PKCS#8,00000004
Key Format Type,X.509,00000005
Key Format Type,ECPrivateKey,00000006
Key Format Type,Transparent Symmetric Key,00000007
Key Format Type,Transparent DSA Private Key,00000008
Key Format Type,Transparent DSA Public Key,00000009
Key Format Type,Transparent RSA Private Key,0000000A
Key Format Type,Transparent RSA Public Key,0000000B
Key Format Type,Transparent DH Private Key,0000000C
Key Format Type,Transparent DH Public Key,0000000D
Key Format Type,Transparent ECDSA Private Key,0000000E
Key Format Type,Transparent ECDSA Public Key,0000000F
Key Format Type,Transparent ECDH Private Key,00000010
Key Format Type,Transparent ECDH Public Key,00000011
Key Format Type,Transparent ECMQV Private Key,00000012
Key Format Type,Transparent ECMQV Public Key,00000013
Key Format Type,Extensions,8XXXXXXX
Wrapping Method,Encrypt,00000001
Wrapping Method,MAC/sign,00000002
Wrapping Method,Encrypt then MAC/sign,00000003
Wrapping Method,MAC/sign then encrypt,00000004
Wrapping Method,TR-31,00000005
Wrapping Method,Extensions,8XXXXXXX
Recommended Curve,P-192,00000001
Recommended Curve,K-163,00000002
Recommended Curve,B-163,00000003
Recommended Curve,P-224,00000004
Recommended Curve,K-233,00000005
Recommended Curve,B-233,00000006
Recommended Curve,P-256,00000007
Recommended Curve,K-283,00000008
Recommended Curve,B-283,00000009
Recommended Curve,P-384,0000000A
Recommended Curve,K-409,0000000B
Recommended Curve,B-409,0000000C
Recommended Curve,P-521,0000000D
Recommended Curve,K-571,0000000E
Recommended Curve,B-571,0000000F
Recommended Curve,SECP112R1,00000010
Recommended Curve,SECP112R2,00000011
Recommended Curve,SECP128R1,00000012
Recommended Curve,SECP128R2,00000013
Recommended Curve,SECP160K1,00000014
Recommended Curve,SECP160R1,00000015
Recommended Curve,SECP160R2,00000016
Recommended Curve,SECP192K1,00000017
Recommended Curve,SECP224K1,00000018
Recommended Curve,SECP256K1,00000019
Recommended Curve,SECT113R1,0000001A
Recommended Curve,SECT113R2,0000001B
Recommended Curve,SECT131R1,0000001C
Recommended Curve,SECT131R2,0000001D
Recommended Curve,SECT163R1,0000001E
Recommended Curve,SECT193R1,0000001F
Recommended Curve,SECT193R2,00000020
Recommended Curve,SECT239K1,00000021
Recommended Curve,ANSIX9P192V2,00000022
Recommended Curve,ANSIX9P192V3,00000023
Recommended Curve,ANSIX9P239V1,00000024
Recommended Curve,ANSIX9P239V2,00000025
Recommended Curve,ANSIX9P239V3,00000026
Recommended Curve,ANSIX9C2PNB163V1,00000027
Recommended Curve,ANSIX9C2PNB163V2,00000028
Recommended Curve,ANSIX9C2PNB163V3,00000029
Recommended Curve,ANSIX9C2PNB176V1,0000002A
Recommended Curve,ANSIX9C2TNB191V1,0000002B
Recommended Curve,ANSIX9C2TNB191V2,0000002C
Recommended Curve,ANSIX9C2TNB191V3,0000002D
Recommended Curve,ANSIX9C2PNB208W1,0000002E
Recommended Curve,ANSIX9C2TNB239V1,0000002F
Recommended Curve,ANSIX9C2TNB239V2,00000030
Recommended Curve,ANSIX9C2TNB239V3,00000031
Recommended Curve,ANSIX9C2PNB272W1,00000032
Recommended Curve,ANSIX9C2PNB304W1,00000033
Recommended Curve,ANSIX9C2TNB359V1,00000034
Recommended Curve,ANSIX9C2PNB368W1,00000035
Recommended Curve,ANSIX9C2TNB431R1,00000036
Recommended Curve,BRAINPOOLP160R1,00000037
Recommended Curve,BRAINPOOLP160T1,00000038
Recommended Curve,BRAINPOOLP192R1,00000039
Recommended Curve,BRAINPOOLP192T1,0000003A
